Date,Open,High,Low,Close,Adj Close,Volume
9/21/2016,76,76.709999,75.860001,76.559998,67.697624,7152500
9/22/2016,77.199997,77.639999,76.910004,77.010002,68.095535,5639400
9/23/2016,76.690002,77.059998,75.57,75.919998,67.131714,6847400
9/26/2016,76.129997,76.610001,75.480003,75.580002,66.831055,5499300
9/27/2016,75.129997,75.459999,74.330002,75.330002,66.610016,6457200
9/28/2016,75.589996,78.099998,75.07,78.010002,68.97979,9420800
9/29/2016,78.110001,78.970001,77.370003,77.370003,68.413864,9859500
9/30/2016,77.839996,78.989998,77.610001,78.639999,69.536842,6485700
10/3/2016,78.82,79.059998,78.349998,78.900002,69.766762,4854700
10/4/2016,78.980003,79.099998,78.339996,78.540001,69.448418,5211100
10/5/2016,79.410004,80.949997,79.059998,80.150002,70.872055,7249400
10/6/2016,80.43,81.589996,80.269997,81.419998,71.995033,6469500
10/7/2016,81.790001,82.099998,80.980003,81.309998,71.897781,5305300
10/10/2016,81.730003,82.440002,81.730003,82.330002,72.799706,4565100
10/11/2016,82.080002,82.230003,81.160004,81.690002,72.233788,5063000
10/12/2016,81.760002,81.790001,81.029999,81.440002,72.012749,4059400
10/13/2016,81.019997,81.919998,80.620003,81.529999,72.092323,4656600
10/14/2016,81.970001,82.360001,81.309998,81.32,71.906616,4681500
10/17/2016,81.32,81.760002,80.690002,80.980003,71.60598,3710900
10/18/2016,81.580002,81.800003,80.669998,81.389999,71.968506,3956800
10/19/2016,82,84.300003,82,83.440002,73.781219,9926100
10/20/2016,82.75,83.360001,81.879997,82.989998,73.383293,7773200
10/21/2016,81.849998,82.419998,79.68,80.470001,71.155014,10221800
10/24/2016,80.559998,80.739998,79.510002,80.309998,71.013542,5617400
10/25/2016,80.349998,81.5,79.919998,80.220001,70.933952,5436600
10/26/2016,79.489998,80.650002,79.32,80.019997,70.757088,4238200
10/27/2016,80.400002,80.580002,79.529999,79.599998,70.385727,3919600
10/28/2016,79.760002,80.190002,78.629997,79.199997,70.032036,5001000
10/31/2016,78.879997,79.099998,78.029999,78.230003,69.174316,6225100
11/1/2016,78.660004,78.809998,77.709999,78.699997,69.589905,6825500
11/2/2016,78.080002,78.220001,76.919998,77.760002,68.758713,6395900
11/3/2016,77.93,78.660004,77.800003,78.459999,69.377686,4935800
11/4/2016,78.519997,78.93,77.660004,77.839996,68.829445,5178300
11/7/2016,78.900002,79.800003,78.709999,79.75,70.518349,4756400
11/8/2016,79.330002,80.489998,79.129997,79.839996,70.597923,4012600
11/9/2016,79.260002,80.43,78.849998,79.940002,70.686363,6737600
11/10/2016,79.480003,80.709999,79.480003,79.879997,70.633308,6798600
11/11/2016,79.199997,79.43,78.07,78.660004,69.554535,4955700
11/14/2016,78.400002,78.919998,77.480003,78.709999,69.598755,6060900
11/15/2016,79.440002,81.559998,79.400002,81.160004,71.765144,5833900
11/16/2016,81.019997,81.900002,80.769997,81.040001,71.659042,4501300
11/17/2016,81.510002,81.870003,79.870003,80.099998,70.827835,4733600
11/18/2016,80.099998,80.519997,79.720001,80,70.739418,3951100
11/21/2016,81.110001,81.910004,81.029999,81.709999,72.251472,5202100
11/22/2016,81.980003,82,80.279999,81.5,72.065788,4646400
11/23/2016,81.07,81.919998,81.010002,81.400002,71.977356,3122000
11/25/2016,81.029999,81.389999,80.75,81.290001,71.880104,1819700
11/28/2016,81.410004,82.029999,80.830002,81.059998,71.676712,5909400
11/29/2016,79.610001,80.290001,78.739998,79.919998,70.668663,6326400
11/30/2016,82.470001,84.370003,82.050003,84.050003,74.32061,13534300
12/1/2016,84.989998,86.410004,84.370003,84.610001,74.815781,7991700
12/2/2016,84.599998,85.440002,84.260002,85.010002,75.169487,5090300
12/5/2016,84.919998,85.18,84.230003,84.43,75.09832,5976100
12/6/2016,83.760002,84.290001,83.160004,83.959999,74.68026,4878600
